In	O
Tl2OB2O3	B-MAT
glass	B-DSC
,	O
the	O
presence	O
of	O
3-coordinated	O
oxygen	O
atom	O
proposed	O
from	O
an	O
NMR	B-CMT
study	O
was	O
confirmed	O
neither	O
by	O
this	O
analysis	O
nor	O
by	O
raman	B-CMT
spectra	O
.	O

the	O
structure	O
undergoes	O
a	O
transformation	O
from	O
an	O
orthorhombic	B-SPL
modification	O
,	O
space	O
group	O
pnma	B-SPL
(	O
RT	O
phase	O
)	O
to	O
a	O
monoclinic	B-SPL
polymorph	O
,	O
space	O
group	O
P21	B-SMT
/	I-SMT
n	I-SMT
(	O
LT	O
phase	O
)	O
.	O

fiber	B-APL
-	I-APL
shaped	I-APL
solar	I-APL
cells	I-APL
(	O
CsFS	B-APL
)	O
have	O
attracted	O
increasing	O
interest	O
in	O
recent	O
years	O
due	O
to	O
their	O
numerous	O
advantages	O
.	O

Nanostructured	B-DSC
Cu	B-MAT
–	I-MAT
30wt.	I-MAT
%	I-MAT
Zn	I-MAT
–	I-MAT
0.8wt.	I-MAT
%	I-MAT
Al	I-MAT
alloy	B-DSC
(	O
commercial	O
designation	O
brass	B-MAT
260	I-MAT
)	O
was	O
fabricated	O
by	O
cryomilling	B-SMT
of	O
brass	B-MAT
powders	B-DSC
and	O
subsequent	O
spark	B-SMT
plasma	I-SMT
sintering	I-SMT
(	O
SPS	B-SMT
)	O
.	O

It	O
is	O
shown	O
that	O
Young	B-PRO
’s	I-PRO
modulus	I-PRO
of	O
nanocrystalline	B-DSC
NiTi	B-MAT
first	O
decreases	O
(	O
for	O
GS	B-PRO
<	O
62	B-PVL
nm	B-PUT
)	O
and	O
then	O
increases	O
(	O
for	O
GS	B-PRO
>	O
62	B-PVL
nm	B-PUT
)	O
with	O
GS	B-PRO
in	O
the	O
nano-scale	O
region	O
.	O

In	O
order	O
to	O
calculate	O
the	O
exchange	B-PRO
and	O
correlation	B-PRO
energies	I-PRO
,	O
the	O
method	O
is	O
coupled	O
with	O
modified	O
techniques	O
such	O
as	O
GGA+U	B-CMT
and	O
mBJ	B-CMT
-	I-CMT
GGA	I-CMT
,	O
which	O
yield	O
improved	O
results	O
as	O
compared	O
to	O
the	O
previous	O
studies	O
.	O

